,App_ID,Title,App_Type
3,10,Counter-Strike,Game
4,20,Team Fortress Classic,Game
5,30,Day of Defeat,Game
6,40,Deathmatch Classic,Game
7,50,Half-Life: Opposing Force,Game
8,60,Ricochet,Game
9,70,Half-Life,Game
10,80,Counter-Strike: Condition Zero,Game
12,92,Codename Gordon,Game
13,100,Counter-Strike: Condition Zero Deleted Scenes,Game
14,130,Half-Life: Blue Shift,Game
17,210,Source Dedicated Server,Game
22,220,Half-Life 2,Game
23,240,Counter-Strike: Source,Game
25,280,Half-Life: Source,Game
26,300,Day of Defeat: Source,Game
27,304,Day of Defeat: Source Press Review,Game
29,320,Half-Life 2: Deathmatch,Game
30,340,Half-Life 2: Lost Coast,Game
31,360,Half-Life Deathmatch: Source,Game
33,380,Half-Life 2: Episode One,Game
34,400,Portal,Game
36,420,Half-Life 2: Episode Two,Game
37,440,Team Fortress 2,Game
42,480,Spacewar,Game
43,500,Left 4 Dead,Game
47,530,Left 4 Dead Demo,Game
49,550,Left 4 Dead 2,Game
54,570,Dota 2,Game
64,620,Portal 2,Game
66,630,Alien Swarm,Game
75,659,Portal 2 - Pre-order,Game
78,730,Counter-Strike: Global Offensive,Game
90,852,ValveTestApp852,Game
188,1001,Rag Doll Kung Fu Beta,Game
189,1002,Rag Doll Kung Fu,Game
192,1200,Red Orchestra: Ostfront 41-45,Game
193,1210,Red Orchestra Beta,Game
196,1230,Mare Nostrum,Game
198,1250,Killing Floor,Game
204,1270,Killing Floor Beta,Game
206,1280,Darkest Hour: Europe '44-'45,Game
208,1300,SiN Episodes: Emergence,Game
210,1309,SiN Multiplayer,Game
211,1313,SiN,Game
213,1320,SiN Episodes: Emergence,Game
214,1500,Darwinia,Game
216,1504,Darwinia Press Review,Game
218,1510,Uplink,Game
219,1520,DEFCON,Game
222,1525,DEFCON Beta,Game
224,1530,Multiwinia,Game
228,1600,Dangerous Waters,Game
229,1610,Space Empires IV Deluxe,Game
230,1620,Jagged Alliance 2,Game
231,1630,Disciples II: Rise of the Elves,Game
233,1640,Disciples II: Gallean's Return,Game
235,1670,Iron Warriors: T-72 Tank Command,Game
236,1690,Space Empires V,Game
237,1700,Arx Fatalis,Game
240,1900,Earth 2160,Game
241,1920,Two Worlds,Game
242,1930,Two Worlds: Epic Edition,Game
243,2100,Dark Messiah of Might & Magic Single Player,Game
244,2110,Dark Messiah Multiplayer Open Beta,Game
246,2115,Dark Messiah of Might & Magic Single Player,Game
248,2130,Dark Messiah of Might & Magic Multi-Player,Game
251,2200,Quake III Arena,Game
252,2210,Quake 4,Game
253,2270,Wolfenstein 3D,Game
254,2280,The Ultimate DOOM,Game
255,2290,Final DOOM,Game
256,2300,DOOM II: Hell on Earth,Game
257,2310,Quake,Game
258,2320,Quake II,Game
259,2330,Quake II: The Reckoning,Game
260,2340,Quake II: Ground Zero,Game
261,2350,Quake III: Team Arena,Game
262,2360,HeXen: Beyond Heretic,Game
263,2370,HeXen: Deathkings of the Dark Citadel,Game
264,2390,Heretic: Shadow of the Serpent Riders,Game
265,2400,The Ship,Game
267,2410,The Ship Beta,Game
268,2413,The Ship Dedicated Server Beta,Game
269,2420,The Ship Single Player,Game
270,2430,The Ship Tutorial,Game
271,2450,Bloody Good Time,Game
273,2500,Shadowgrounds,Game
276,2520,Gumboy: Crazy Adventures,Game
277,2525,Gumboy Crazy Features,Game
280,2540,RIP,Game
281,2545,RIP 2: Strike Back,Game
282,2550,RIP 3: The Last Hero,Game
284,2570,Vigil: Blood Bitterness,Game
286,2590,Alpha Prime,Game
287,2600,Vampire: The Masquerade - Bloodlines,Game
288,2610,GUN,Game
289,2620,Call of Duty,Game
291,2630,Call of Duty 2,Game
293,2640,Call of Duty: United Offensive,Game
295,2680,The History Channel: Civil War,Game
296,2690,Empires: Dawn of the Modern World,Game
297,2700,RollerCoaster Tycoon 3: Platinum!,Game
298,2710,Act of War: Direct Action,Game
299,2720,ThreadSpace: Hyperbol,Game
305,2760,Neverwinter Nights 2: Platinum,Game
309,2780,Arma: Combat Operations,Game
310,2790,Atari: 80 Classic Games in One!,Game
311,2800,X2: The Threat,Game
312,2810,X3: Reunion,Game
313,2820,X3: Terran Conflict,Game
316,2840,X: Beyond the Frontier,Game
317,2850,X-Tension,Game
319,2870,X Rebirth,Game
320,2900,688(I) Hunter/Killer,Game
321,2910,Fleet Command,Game
322,2920,Sub Command,Game
323,2930,Birth Of America,Game
324,2950,Jagged Alliance 2: Unfinished Business,Game
325,2990,FlatOut 2,Game
326,3000,GTI Racing,Game
327,3010,Xpand Rally,Game
328,3020,Call of Juarez,Game
