userid,appid,play_hrs
76561197960272283,10.00,0.72
76561197960272283,20.00,0.00
76561197960272283,30.00,0.00
76561197960272283,40.00,0.00
76561197960272283,50.00,1.43
76561197960272283,60.00,0.00
76561197960272283,70.00,0.95
76561197960272283,130.00,2.12
76561197960272283,80.00,0.00
76561197960272283,100.00,0.00
76561197960272283,220.00,0.07
76561197960272283,240.00,55.35
76561197960272283,280.00,0.00
76561197960272283,300.00,0.08
76561197960272283,320.00,0.00
76561197960272283,340.00,0.00
76561197960272283,360.00,0.00
76561197960272283,1002.00,0.00
76561197960272283,1300.00,0.00
76561197960272283,1309.00,0.00
76561197960272283,1313.00,0.00
76561197960272283,380.00,0.00
76561197960272283,2400.00,0.42
76561197960272283,2430.00,0.00
76561197960272283,6100.00,0.00
76561197960272283,3200.00,0.48
76561197960272283,2600.00,0.00
76561197960272283,6910.00,6.20
76561197960272283,7200.00,8.07
76561197960272283,8400.00,0.35
76561197960272283,4540.00,0.58
76561197960272283,4550.00,0.75
76561197960272283,475150.00,0.00
76561197960272283,2280.00,0.00
76561197960272283,2300.00,0.00
76561197960272283,9160.00,0.00
76561197960272283,2200.00,0.07
76561197960272283,2310.00,3.53
76561197960272283,2320.00,0.40
76561197960272283,2330.00,0.02
76561197960272283,2340.00,0.00
76561197960272283,2350.00,0.00
76561197960272283,9030.00,0.00
76561197960272283,9040.00,0.00
76561197960272283,4760.00,0.00
76561197960272283,4500.00,0.37
76561197960272283,400.00,4.47
76561197960272283,420.00,0.00
76561197960272283,12500.00,0.00
76561197960272283,12900.00,8.18
76561197960272283,7670.00,1.43
76561197960272283,409710.00,11.50
76561197960272283,13230.00,0.08
76561197960272283,13210.00,7.28
76561197960272283,17300.00,0.00
76561197960272283,17330.00,0.00
76561197960272283,17340.00,0.00
76561197960272283,20900.00,25.87
76561197960272283,21300.00,1.30
76561197960272283,500.00,29.22
76561197960272283,18500.00,1.25
76561197960272283,17460.00,35.27
76561197960272283,17470.00,11.98
76561197960272283,17410.00,4.28
76561197960272283,24740.00,2.65
76561197960272283,22200.00,5.05
76561197960272283,1250.00,29.80
76561197960272283,35420.00,0.00
76561197960272283,3590.00,0.48
76561197960272283,9860.00,0.00
76561197960272283,29650.00,16.50
76561197960272283,22310.00,0.00
76561197960272283,13570.00,0.00
76561197960272283,15520.00,1.00
76561197960272283,32370.00,1.32
76561197960272283,24800.00,0.00
76561197960272283,17450.00,33.78
76561197960272283,41500.00,8.22
76561197960272283,10180.00,10.20
76561197960272283,10190.00,113.65
76561197960272283,11450.00,0.00
76561197960272283,12710.00,2.45
76561197960272283,12810.00,0.00
76561197960272283,550.00,89.87
76561197960272283,223530.00,0.00
76561197960272283,22370.00,0.00
76561197960272283,25700.00,0.53
76561197960272283,24980.00,58.42
76561197960272283,8850.00,0.00
76561197960272283,409720.00,0.73
76561197960272283,24960.00,41.42
76561197960272283,11440.00,2.78
76561197960272283,11500.00,0.00
76561197960272283,12750.00,0.92
76561197960272283,12800.00,0.43
76561197960272283,12840.00,6.37
76561197960272283,20820.00,4.03
76561197960272283,35140.00,9.57
76561197960272283,40930.00,0.17
76561197960272283,12100.00,0.00
76561197960272283,12110.00,0.00
76561197960272283,12120.00,0.03
76561197960272283,12130.00,0.00
76561197960272283,12140.00,0.62
76561197960272283,12150.00,0.00
76561197960272283,12160.00,0.00
